OBJECTID,ZONE,VALUE,DATASET,Shape__Area,Shape__Length
103,Central,1,London Doughnut,30474046.5812988,23619.7768406983
104,Inner,2,London Doughnut,224122181.756874,92835.2439789052
105,Outer,3,London Doughnut,1340122772.24845,325384.949062613
106,Central,1,London Doughnut,30474046.5812988,23619.7768406983
107,Inner,2,London Doughnut,224122181.756874,92835.2439789052
108,Outer,3,London Doughnut,1340122772.24845,325384.949062613
109,Outer,3,London Doughnut,1340122772.24886,325384.949062606
110,Central,1,London Doughnut,30474046.5812836,23619.776840701
111,Inner,2,London Doughnut,224122181.756927,92835.2439789017
112,Central,1,London Doughnut,30474046.5812988,23619.7768406983
113,Inner,2,London Doughnut,224122181.756874,92835.2439789052
114,Outer,3,London Doughnut,1340122772.24845,325384.949062613
115,Outer,3,London Doughnut,1340122772.24886,325384.949062606
116,Inner,2,London Doughnut,224122181.756927,92835.2439789017
117,Central,1,London Doughnut,30474046.5812836,23619.776840701
118,Central,1,London Doughnut,30474046.5812836,23619.776840701
119,Outer,3,London Doughnut,1340122772.24886,325384.949062606
120,Outer,3,London Doughnut,1340122772.24886,325384.949062606
121,Inner,2,London Doughnut,224122181.756927,92835.2439789017
122,Inner,2,London Doughnut,224122181.756927,92835.2439789017
123,Central,1,London Doughnut,30474046.5812836,23619.776840701
124,Central,1,London Doughnut,30474046.5812988,23619.7768406983
125,Inner,2,London Doughnut,224122181.756874,92835.2439789052
126,Outer,3,London Doughnut,1340122772.24845,325384.949062613
127,Outer,3,London Doughnut,1340122772.24886,325384.949062606
128,Outer,3,London Doughnut,1340122772.24886,325384.949062606
129,Outer,3,London Doughnut,1340122772.24886,325384.949062606
130,Outer,3,London Doughnut,1340122772.24886,325384.949062606
131,Inner,2,London Doughnut,224122181.756927,92835.2439789017
132,Inner,2,London Doughnut,224122181.756927,92835.2439789017
133,Inner,2,London Doughnut,224122181.756927,92835.2439789017
134,Inner,2,London Doughnut,224122181.756927,92835.2439789017
135,Central,1,London Doughnut,30474046.5812836,23619.776840701
136,Central,1,London Doughnut,30474046.5812836,23619.776840701
137,Central,1,London Doughnut,30474046.5812836,23619.776840701
138,Outer,3,London Doughnut,1340122772.24886,325384.949062606
139,Outer,3,London Doughnut,1340122772.24886,325384.949062606
140,Outer,3,London Doughnut,1340122772.24886,325384.949062606
141,Inner,2,London Doughnut,224122181.756927,92835.2439789017
142,Inner,2,London Doughnut,224122181.756927,92835.2439789017
143,Inner,2,London Doughnut,224122181.756927,92835.2439789017
144,Central,1,London Doughnut,30474046.5812836,23619.776840701
145,Central,1,London Doughnut,30474046.5812836,23619.776840701
146,Central,1,London Doughnut,30474046.5812836,23619.776840701
147,Central,1,London Doughnut,30474046.5812836,23619.776840701
148,Central,1,London Doughnut,30474046.5812988,23619.7768406983
149,Inner,2,London Doughnut,224122181.756874,92835.2439789052
150,Outer,3,London Doughnut,1340122772.24845,325384.949062613
151,Outer,3,London Doughnut,1340122772.24886,325384.949062606
152,Outer,3,London Doughnut,1340122772.24886,325384.949062606
153,Outer,3,London Doughnut,1340122772.24886,325384.949062606
154,Outer,3,London Doughnut,1340122772.24886,325384.949062606
155,Outer,3,London Doughnut,1340122772.24886,325384.949062606
156,Outer,3,London Doughnut,1340122772.24886,325384.949062606
157,Outer,3,London Doughnut,1340122772.24886,325384.949062606
158,Outer,3,London Doughnut,1340122772.24886,325384.949062606
159,Outer,3,London Doughnut,1340122772.24886,325384.949062606
160,Outer,3,London Doughnut,1340122772.24886,325384.949062606
161,Outer,3,London Doughnut,1340122772.24886,325384.949062606
162,Inner,2,London Doughnut,224122181.756927,92835.2439789017
163,Inner,2,London Doughnut,224122181.756927,92835.2439789017
164,Inner,2,London Doughnut,224122181.756927,92835.2439789017
165,Inner,2,London Doughnut,224122181.756927,92835.2439789017
166,Inner,2,London Doughnut,224122181.756927,92835.2439789017
167,Inner,2,London Doughnut,224122181.756927,92835.2439789017
168,Inner,2,London Doughnut,224122181.756927,92835.2439789017
169,Inner,2,London Doughnut,224122181.756927,92835.2439789017
170,Inner,2,London Doughnut,224122181.756927,92835.2439789017
171,Inner,2,London Doughnut,224122181.756927,92835.2439789017
172,Inner,2,London Doughnut,224122181.756927,92835.2439789017
173,Central,1,London Doughnut,30474046.5812836,23619.776840701
174,Central,1,London Doughnut,30474046.5812836,23619.776840701
175,Central,1,London Doughnut,30474046.5812836,23619.776840701
176,Central,1,London Doughnut,30474046.5812836,23619.776840701
177,Outer,3,London Doughnut,1340122772.24886,325384.949062606
178,Outer,3,London Doughnut,1340122772.24886,325384.949062606
179,Outer,3,London Doughnut,1340122772.24886,325384.949062606
180,Outer,3,London Doughnut,1340122772.24886,325384.949062606
181,Inner,2,London Doughnut,224122181.756927,92835.2439789017
182,Inner,2,London Doughnut,224122181.756927,92835.2439789017
183,Inner,2,London Doughnut,224122181.756927,92835.2439789017
184,Inner,2,London Doughnut,224122181.756927,92835.2439789017
185,Central,1,London Doughnut,30474046.5812836,23619.776840701
186,Central,1,London Doughnut,30474046.5812836,23619.776840701
187,Central,1,London Doughnut,30474046.5812836,23619.776840701
188,Central,1,London Doughnut,30474046.5812836,23619.776840701
189,Central,1,London Doughnut,30474046.5812836,23619.776840701
190,Central,1,London Doughnut,30474046.5812836,23619.776840701
191,Central,1,London Doughnut,30474046.5812836,23619.776840701
192,Central,1,London Doughnut,30474046.5812836,23619.776840701
193,Central,1,London Doughnut,30474046.5812836,23619.776840701
194,Central,1,London Doughnut,30474046.5812836,23619.776840701
195,Central,1,London Doughnut,30474046.5812836,23619.776840701
196,Central,1,London Doughnut,30474046.5812988,23619.7768406983
197,Inner,2,London Doughnut,224122181.756874,92835.2439789052
198,Outer,3,London Doughnut,1340122772.24845,325384.949062613
199,Outer,3,London Doughnut,1340122772.24886,325384.949062606
200,Outer,3,London Doughnut,1340122772.24886,325384.949062606
201,Outer,3,London Doughnut,1340122772.24886,325384.949062606
202,Outer,3,London Doughnut,1340122772.24886,325384.949062606
203,Outer,3,London Doughnut,1340122772.24886,325384.949062606
204,Outer,3,London Doughnut,1340122772.24886,325384.949062606
205,Outer,3,London Doughnut,1340122772.24886,325384.949062606
206,Outer,3,London Doughnut,1340122772.24886,325384.949062606
207,Outer,3,London Doughnut,1340122772.24886,325384.949062606
208,Outer,3,London Doughnut,1340122772.24886,325384.949062606
209,Outer,3,London Doughnut,1340122772.24886,325384.949062606
210,Outer,3,London Doughnut,1340122772.24886,325384.949062606
211,Outer,3,London Doughnut,1340122772.24886,325384.949062606
212,Outer,3,London Doughnut,1340122772.24886,325384.949062606
213,Outer,3,London Doughnut,1340122772.24886,325384.949062606
214,Outer,3,London Doughnut,1340122772.24886,325384.949062606
215,Outer,3,London Doughnut,1340122772.24886,325384.949062606
216,Outer,3,London Doughnut,1340122772.24886,325384.949062606
217,Outer,3,London Doughnut,1340122772.24886,325384.949062606
218,Outer,3,London Doughnut,1340122772.24886,325384.949062606
219,Outer,3,London Doughnut,1340122772.24886,325384.949062606
220,Outer,3,London Doughnut,1340122772.24886,325384.949062606
221,Outer,3,London Doughnut,1340122772.24886,325384.949062606
222,Outer,3,London Doughnut,1340122772.24886,325384.949062606
223,Outer,3,London Doughnut,1340122772.24886,325384.949062606
224,Outer,3,London Doughnut,1340122772.24886,325384.949062606
225,Inner,2,London Doughnut,224122181.756927,92835.2439789017
226,Inner,2,London Doughnut,224122181.756927,92835.2439789017
227,Inner,2,London Doughnut,224122181.756927,92835.2439789017
228,Inner,2,London Doughnut,224122181.756927,92835.2439789017
229,Inner,2,London Doughnut,224122181.756927,92835.2439789017
230,Inner,2,London Doughnut,224122181.756927,92835.2439789017
231,Inner,2,London Doughnut,224122181.756927,92835.2439789017
232,Inner,2,London Doughnut,224122181.756927,92835.2439789017
233,Inner,2,London Doughnut,224122181.756927,92835.2439789017
234,Inner,2,London Doughnut,224122181.756927,92835.2439789017
235,Inner,2,London Doughnut,224122181.756927,92835.2439789017
236,Inner,2,London Doughnut,224122181.756927,92835.2439789017
237,Inner,2,London Doughnut,224122181.756927,92835.2439789017
238,Inner,2,London Doughnut,224122181.756927,92835.2439789017
239,Inner,2,London Doughnut,224122181.756927,92835.2439789017
240,Inner,2,London Doughnut,224122181.756927,92835.2439789017
241,Inner,2,London Doughnut,224122181.756927,92835.2439789017
242,Inner,2,London Doughnut,224122181.756927,92835.2439789017
243,Inner,2,London Doughnut,224122181.756927,92835.2439789017
244,Inner,2,London Doughnut,224122181.756927,92835.2439789017
245,Inner,2,London Doughnut,224122181.756927,92835.2439789017
246,Inner,2,London Doughnut,224122181.756927,92835.2439789017
247,Inner,2,London Doughnut,224122181.756927,92835.2439789017
248,Inner,2,London Doughnut,224122181.756927,92835.2439789017
249,Inner,2,London Doughnut,224122181.756927,92835.2439789017
250,Inner,2,London Doughnut,224122181.756927,92835.2439789017
251,Central,1,London Doughnut,30474046.5812836,23619.776840701
252,Central,1,London Doughnut,30474046.5812836,23619.776840701
253,Central,1,London Doughnut,30474046.5812836,23619.776840701
254,Central,1,London Doughnut,30474046.5812836,23619.776840701
255,Central,1,London Doughnut,30474046.5812836,23619.776840701
256,Outer,3,London Doughnut,1340122772.24886,325384.949062606
257,Outer,3,London Doughnut,1340122772.24886,325384.949062606
258,Outer,3,London Doughnut,1340122772.24886,325384.949062606
259,Outer,3,London Doughnut,1340122772.24886,325384.949062606
260,Outer,3,London Doughnut,1340122772.24886,325384.949062606
261,Inner,2,London Doughnut,224122181.756927,92835.2439789017
262,Inner,2,London Doughnut,224122181.756927,92835.2439789017
263,Inner,2,London Doughnut,224122181.756927,92835.2439789017
264,Inner,2,London Doughnut,224122181.756927,92835.2439789017
265,Inner,2,London Doughnut,224122181.756927,92835.2439789017
266,Central,1,London Doughnut,30474046.5812836,23619.776840701
267,Central,1,London Doughnut,30474046.5812836,23619.776840701
268,Central,1,London Doughnut,30474046.5812836,23619.776840701
269,Central,1,London Doughnut,30474046.5812836,23619.776840701
270,Central,1,London Doughnut,30474046.5812836,23619.776840701
271,Central,1,London Doughnut,30474046.5812836,23619.776840701
272,Central,1,London Doughnut,30474046.5812836,23619.776840701
273,Central,1,London Doughnut,30474046.5812836,23619.776840701
274,Central,1,London Doughnut,30474046.5812836,23619.776840701
275,Central,1,London Doughnut,30474046.5812836,23619.776840701
276,Central,1,London Doughnut,30474046.5812836,23619.776840701
277,Central,1,London Doughnut,30474046.5812836,23619.776840701
278,Central,1,London Doughnut,30474046.5812836,23619.776840701
279,Central,1,London Doughnut,30474046.5812836,23619.776840701
280,Central,1,London Doughnut,30474046.5812836,23619.776840701
281,Central,1,London Doughnut,30474046.5812836,23619.776840701
282,Central,1,London Doughnut,30474046.5812836,23619.776840701
283,Central,1,London Doughnut,30474046.5812836,23619.776840701
284,Central,1,London Doughnut,30474046.5812836,23619.776840701
285,Central,1,London Doughnut,30474046.5812836,23619.776840701
286,Central,1,London Doughnut,30474046.5812836,23619.776840701
287,Central,1,London Doughnut,30474046.5812836,23619.776840701
288,Central,1,London Doughnut,30474046.5812836,23619.776840701
289,Central,1,London Doughnut,30474046.5812836,23619.776840701
290,Central,1,London Doughnut,30474046.5812836,23619.776840701
291,Central,1,London Doughnut,30474046.5812836,23619.776840701
292,Central,1,London Doughnut,30474046.5812988,23619.7768406983
293,Inner,2,London Doughnut,224122181.756874,92835.2439789052
294,Outer,3,London Doughnut,1340122772.24845,325384.949062613
